akutar[N][Abs][Unpd][Sg]	akutaq
angyar[N][Abs][Unpd][Sg]	angyaq
angute[N][Abs][Unpd][Sg]	angun
arnar[N][Abs][Unpd][Sg]	arnaq
asver[N][Abs][Unpd][Sg]	asveq
atkug[N][Abs][Unpd][Sg]	atkuk
atsalugpiar[N][Abs][Unpd][Sg]	atsalugpiaq
cavute[N][Abs][Unpd][Sg]	cavun
elitnaurvig[N][Abs][Unpd][Sg]	elitnaurvik
estuulur[N][Abs][Unpd][Sg]	estuuluq
igte[N][Abs][Unpd][Sg]	igta
ikamrar[N][Abs][Unpd][Sg]	ikamraq
imar[N][Abs][Unpd][Sg]	imaq
kassʼar[N][Abs][Unpd][Sg]	kassʼaq
kaviar*[N][Abs][Unpd][Sg]	kaviaq
kemeg[N][Abs][Unpd][Sg]	kemek
kuig[N][Abs][Unpd][Sg]	kuik
kuuviar[N][Abs][Unpd][Sg]	kuuviaq
mikelngur*[N][Abs][Unpd][Sg]	mikelnguq
nacar[N][Abs][Unpd][Sg]	nacaq
nanvar[N][Abs][Unpd][Sg]	nanvaq
nater[N][Abs][Unpd][Sg]	nateq
nayir*[N][Abs][Unpd][Sg]	nayiq
neqe[N][Abs][Unpd][Sg]	neqa
nuliar[N][Abs][Unpd][Sg]	nuliaq
nuna[N][Abs][Unpd][Sg]	nuna
nuteg[N][Abs][Unpd][Sg]	nutek
pengur[N][Abs][Unpd][Sg]	penguq
qair*[N][Abs][Unpd][Sg]	qaiq
qantar[N][Abs][Unpd][Sg]	qantaq
qimugte[N][Abs][Unpd][Sg]	qimugta
suupar[N][Abs][Unpd][Sg]	suupaq
tume[N][Abs][Unpd][Sg]	tume
tuntuvag[N][Abs][Unpd][Sg]	tuntuvak
ui[N][Abs][Unpd][Sg]	ui
uluar[N][Abs][Unpd][Sg]	uluaq
yug[N][Abs][Unpd][Sg]	yuk
Yupʼig[N][Abs][Unpd][Sg]	Yupʼik
