[e]ne[N][Abs][Unpd][Sg]	ena
[e]ne[Abl_Mod][Unpd][Sg]	nemʼek
[e]ne-––li[N→V]-@~+yug[V→V][V][Intr][Ind][S_3Sg]	nelʼiyugtuq
[e]ne-–ngqerr[N→V][V][Intr][Ind][S_3Sg]	nengqertuq
nuna[N][Abs][Unpd][Pl]	nunat
makumiu[N][Abs][Unpd][Pl]	makumiut
neqe[N][Abs][Unpd][Pl]	neqet
qimugte[N][Abs][Unpd][Pl]	qimugtet
angute[N][Abs][Unpd][Pl]	angutet
angyar[N][Abs][Unpd][Pl]	angyat
uluar[N][Abs][Unpd][Pl]	uluat
qair*[N][Abs][Unpd][Pl]	qairet
kuig[N][Abs][Unpd][Pl]	kuiget
nater[N][Abs][Unpd][Pl]	natret
asver[N][Abs][Unpd][Pl]	asevret
asver[N][Abs][Unpd][Pl]	asveret
atkug[N][Abs][Unpd][Pl]	atkuut
mikelngur*[N][Abs][Unpd][Pl]	mikelnguut
tanʼgurrar*[N][Abs][Unpd][Pl]	tanʼgurraat
kanaqlag[N][Abs][Unpd][Pl]	kanaqliit
kaviar*[N][Abs][Unpd][Pl]	kaviaret
arnar[N][Abs][Unpd][Sg]	arnaq
arnar[N][Abs][Unpd][Pl]	arnat
arnar[N][Abs][Unpd][Du]	arnak
tuntuvag[N][Abs][Unpd][Sg]	tuntuvak
tuntuvag[N][Abs][Unpd][Pl]	tuntuviit
tuntuvag[N][Abs][Unpd][Du]	tuntuviik
tengssuute[N][Abs][Unpd][Sg]	tengssuun
tengssuute[N][Abs][Unpd][Pl]	tengssuutet
tengssuute[N][Abs][Unpd][Du]	tengssuutek
yaquleg[N][Abs][Unpd][Sg]	yaqulek
yaquleg[N][Abs][Unpd][Pl]	yaqulget
yaquleg[N][Abs][Unpd][Du]	yaqulgek
angute[N][Abs][Unpd][Sg]=llu[Encl]	angun-llu
mikelngur*[N][Abs][Unpd][Du]=llu[Encl]	mikelnguuk-llu
mikelngur*[N][Abs][Unpd][Pl]=llu[Encl]	mikelnguut-llu
kipusvig[N][Ter][Unpd][Sg]	kipusvigmun
ingrir[N][Ter][Unpd][Pl]	ingrinun
kuig[N][Ter][Unpd][Sg]	kuigmun
nunapig[N][Loc][Unpd][Sg]	nunapigmi
ella[N][Loc][Unpd][Sg]	ellami
kipusvig[N][Loc][Unpd][Sg]	kipusvigmi
Mamteriller[N][Loc][Unpd][Sg]	Mamterillermi
[e]ne[N][Loc][Unpd][Sg]	nemʼi
nuna-–rpag[N→N][N][Abs][Unpd][Sg]	nunarpak
neqe-–rpag[N→N][N][Abs][Unpd][Sg]	neqerpak
nanvar-–rpag[N→N][N][Abs][Unpd][Sg]	nanvarpak
qair*-–rpag[N→N][N][Abs][Unpd][Sg]	qairpak
kuig-–rpag[N→N][N][Abs][Unpd][Sg]	kuigpak
yaquleg-–rpag[N→N][N][Abs][Unpd][Sg]	yaqulegpak
nuna-–rpag[N→N][N][Abs][Unpd][Pl]	nunarpiit
yaquleg-–rpag[N→N][N][Abs][Unpd][Pl]	yaqulegpiit	
angute-@vag/?vag[N→N][N][Abs][Unpd][Sg]	angulvak
angute-–rpag[N→N][N][Abs][Unpd][Sg]	anguterpak
angute-@vag/?vag[N→N][N][Abs][Unpd][Pl]	angulviit
angute-–rpag[N→N][N][Abs][Unpd][Pl]	anguterpiit
qimugte-@vag/?vag[N→N][N][Abs][Unpd][Sg]	qimulvak
qimugte-–rpag[N→N][N][Abs][Unpd][Sg]	qimugterpak
kanaqlag-–cuar(ar*)[N→N][N][Abs][Unpd][Sg]	kanaqlacuar
kanaqlag-–cuar(ar*)[N→N][N][Abl_Mod][Unpd][Sg]	kanaqlacuarmek
kanaqlag-–cuar(ar*)[N→N]-–ngqerr[N→V][V][Intr][Ind][S_3Sg]	kanaqlacuarangqertuq
nacar-–cuar(ar*)[N→N]-––li[N→V][V][Intr][Ind][S_1Sg]	nacacuaraliunga
kanaqlag-–cuar(ar*)[N→N][N][Abs][Unpd][Pl]	kanaqlacuaraat
angyar-–cuar(ar*)[N→N]-%:(ng)ite[N→V][V][Intr][Ind][S_1Pl]	angyacuaraitukut
qayar-–pig[N→N][N][Abs][Unpd][Sg]	qayapik
qayar-–piar[N→N][N][Abs][Unpd][Sg]	qayapiaq
qayar-–pig[N→N][N][Abs][Unpd][Pl]	qayapiit
qayar-–piar[N→N][N][Abs][Unpd][Pl]	qayapiat
yug-–pig[N→N][N][Abs][Unpd][Sg]	yupʼik
yug-–piar[N→N][N][Abs][Unpd][Sg]	yupiaq
nuna-–pig[N→N][N][Abs][Unpd][Sg]	nunapik
Mamteriller-~+miu[N→N][N][Abs][Unpd][Sg]	Mamterillermiu
Curyug-~+miu[N→N][N][Abs][Unpd][Sg]	Curyugmiu
Negeqlir-~+miu[N→N][N][Abs][Unpd][Pl]	Negeqlirmiut
kuig-~+miu[N→N][N][Abs][Unpd][Pl]	kuigmiut
Kuigpag-~+miu[N→N][N][Abs][Unpd][Pl]	Kuigpagmiut
uita[V][Intr][Intrg][S_2Sg]	uitasit
nere[V][Intr][Intrg][S_2Sg]	nersit
elite[V][Intr][Intrg][S_2Sg]	elicit
atur[V][Intr][Intrg][S_2Sg]	aturcit
