ui[N][Abs][3SgPoss][SgPosd]	uinga
ui[N][Abs][3PlPoss][PlPosd]	uingit
irniar[N][Abs][3SgPoss][SgPosd]	irniara
irniar[N][Abs][3PlPoss][PlPosd]	irniarit
yaassiig[N][Abs][3SgPoss][SgPosd]	yaassiiga
yaassiig[N][Abs][3PlPoss][PlPosd]	yaassiigit
patu[N][Abs][3SgPoss][SgPosd]	patua
patu[N][Abs][3PlPoss][PlPosd]	patuit
panig[N][Abs][3SgPoss][SgPosd]	pania
panig[N][Abs][3PlPoss][PlPosd]	paniit
atkug[N][Abs][3SgPoss][SgPosd]	atkua
atkug[N][Abs][3PlPoss][PlPosd]	atkuit
nacar[N][Abs][3SgPoss][SgPosd]	nacaa
nacar[N][Abs][3PlPoss][PlPosd]	naciut
ceńa[N][Abs][3SgPoss][SgPosd]	ceńii
ceńa[N][Abs][3PlPoss][PlPosd]	ceńait
tepe[N][Abs][3SgPoss][SgPosd]	tepii
tepe[N][Abs][3PlPoss][PlPosd]	tepait
ciute[N][Abs][3SgPoss][SgPosd]	ciutii
ciute[N][Abs][3PlPoss][PlPosd]	ciutait
kameksag[N][Abs][3SgPoss][SgPosd]	kameksii
kameksag[N][Abs][3PlPoss][PlPosd]	kameksait
angute[N][Rel][Unpd][Sg]	angutem
kuuvviar[N][Abs][3SgPoss][SgPosd]	kuuvviara
arnar[N][Rel][Unpd][Sg]	arnam
apaʼurlurN][Abs][3SgPoss][SgPosd]	apaʼurlua
qimugte[N][Rel][Unpd][Sg]	qimugtem
pamyur[N][Abs][3SgPoss][SgPosd]	pamyua
angute[N][Rel][Unpd][Pl]	angutet
nuussir[N][Abs][3PlPoss][PlPosd]	nuussiit
nanvar[N][Rel][Unpd][Sg]	nanvam
ciku[N][Abs][3SgPoss][SgPosd]	cikua
imarpig[N][Rel][Unpd][Sg]	imarpiim
ceńa[N][Abs][3SgPoss][SgPosd] ceńii
egate[N][Rel][Unpd][Sg]	egatem
patu[N][Abs][3SgPoss][SgPosd]	patua
uu[DemPro][Rel][Unpd][Sg]	uum
